article_id,category,title,date,negative_score,neutral_score,positive_score
,Health_News,"Grippe, Erkältung und Schnupfen: Schutzwirkung durch Holunderbeeren?",,0.08089543133974075,0.03267592936754227,0.8864285945892334
,Health_News,"Bayern-Profi ohne Corona-Impfung: ""Sie sind verantwortlich für den Tsunami"": Hoeneß kritisiert Medien für Debatte um Joshua Kimmich",,0.07050559669733047,0.02724761702120304,0.9022467732429504
,Health_News,"Bayern-Profi ohne Corona-Impfung: ""Sie sind verantwortlich für den Tsunami"": Hoeneß kritisiert Medien für Debatte um Joshua Kimmich",,0.07050559669733047,0.02724761702120304,0.9022467732429504
,Health_News,Niedziele handlowe 2021. Czy 31 października jest niedziela handlowa?,,0.0554015077650547,0.05588793009519577,0.8887105584144592
,Health_News,ERs are now swamped with seriously ill patients — but most don't even have COVID,,0.032021258026361465,0.4467927813529968,0.5211859941482544
,Health_News,COVID-19: Bei schweren Verläufen blockiert Botenstoff frühe Immunreaktion,,0.08476585149765015,0.027773534879088402,0.8874606490135193
,Health_News,Jarosław Kaczyński i szef MON przedstawią ustawę o obronie ojczyzny. Konferencja prasowa,,0.07161930948495865,0.030980868265032768,0.8973997831344604
,Health_News,Halloween: Historia i zwyczaje. Kiedy obchodzimy to święto?,,0.05849746987223625,0.0458885058760643,0.8956140875816345
,Health_News,Foszlós mákos párnácskák középen gazdag töltelékkel: egyszerű gyúrt tésztából készül,,0.11210568249225616,0.02030867151916027,0.8675857186317444
,Health_News,Rekord zgonów na Ukrainie. Tlen z Polski trafił do szpitali,,0.06379492580890656,0.03581903502345085,0.9003860950469971
,Health_News,1 listopada. Czy cmentarze w dniu Wszystkich Świętych będą otwarte?,,0.0477246530354023,0.043889325112104416,0.9083860516548157
,Health_News,Koronawirus w Polsce. Nowe dane o zakażeniach,,0.08303278684616089,0.03803090751171112,0.878936231136322
,Health_News,Policjant w Lubelskiem uratował dziecko. Dławiło się cukierkiem,,0.060029685497283936,0.03862912207841873,0.9013412594795227
,Health_News,Pijany mężczyzna brutalnie pobił swoją żonę,,0.057313233613967896,0.031988296657800674,0.910698413848877
,Health_News,Minister klimatu Michał Kurtyka ogłosił dymisję. Oficjalnym powodem kwestie osobiste,,0.05982302874326706,0.03689703717827797,0.9032799005508423
,Health_News,Így nézne ki ma Boleyn Anna és VIII. Henrik: történelmi személyek 21. századi arcát mutatja meg a művész,,0.1266379952430725,0.023727208375930786,0.8496347665786743
